,question,answer
77,如果被性騷擾了，應該到哪裡提出性騷擾案件的申訴？,"依性騷擾防治法的規定，機關、部隊、學校、機構或僱用人，不論組織成員或受僱人之人數多寡，都必須設有申訴窗口，因此如被性騷擾者，所申訴之單位分別為：

知道加害人所屬機關、部隊、學校、機構或僱用人：

你（妳）可以向申訴時加害人所屬機關、部隊、學校、機構、僱用人或直轄市、縣（市）主管機關提出申訴。但如果加害人為機關首長、部隊主管（官）、學校校長、機構之最高負責人或僱用人時，應向機關、部隊、學校、機構或僱用人所在地之直轄市、縣（市）主管機關提出。如果直接向直轄市、縣（市）主管機關提出申訴者，該主管機關於7日內將申訴案移送加害人所屬機關、部隊、學校、機構或僱用人調查；但加害人如是前述機關首長、部隊主管（官）、學校校長、機構之最高負責人或僱用人時，直轄市、縣（市）主管機關經受理後即應進行調查。


加害人身兼多職：

若加害人身分同時有多個所屬機關、部隊、學校、機構、僱用人（如學校老師兼職補習班），無論向任一個所屬單位提出申訴均可，但建議向對加害人約制最大、對被害人最有利之單位申訴。


加害人隱瞞或故意錯報其單位，以致你（妳）向非加害人所屬機關、部隊、學校、機構或僱用人提出申訴者：

非加害人所屬機關、部隊、學校、機構或僱用人接獲性騷擾之申訴時，仍應於7日內將申訴書及相關資料移送其所在地之直轄市、縣（市）主管機關。再由直轄市、縣（市）主管機關於7日內將所接獲上開資料移送加害人所屬機關、部隊、學校、機構或僱用人處理，並副知機關、部隊、學校、機構或僱用人所在地之直轄市、縣（市）主管機關。但如加害人不明或不知有無所屬機關、部隊、學校、機構或僱用人者，應移送事件發生地之警察機關處理，並副知警察機關所在地之直轄市、縣（市）主管機關。警察機關應於移送後7日內查明加害人身分。如查明加害人所屬機關、部隊、學校、機構或僱用人者，移請該所屬機關、部隊、學校、機構或僱用人續為調查，並副知該管直轄市、縣（市）主管機關及申訴人；如加害人不明或不知有無所屬機關、部隊、學校、機構或僱用人者，應即行調查。


不知道或不確定加害人所屬機關、部隊、學校、機構或僱用人：

可以直接向警察報案。警察機關依職權詳予紀錄，如知悉加害人所屬機 關、部隊、學校、機構或僱用人者，移請該所屬機關、部隊、學校、機構或僱用人續為調查，並副知該管直轄市、縣（市）主管機關及申訴人；如加害人不明或不知有無所屬機關、部隊、學校、機構或僱用人者，應即行調查。


直接向場所主人提出申訴者： 

因各機關、部隊、學校、機構或僱用人也負有場所主人的責任，因此也可以直接向事件發生所在地的機關、部隊、學校、機構或僱用人提出申訴。如該機關、部隊、學校、機構或僱用人非為加害人所屬單位時，該機關、部隊、學校、機構或僱用人仍應採取緊急處理，並應於7日內將申訴書及相關資料移送其所在地之直轄市、縣（市）主管機關。該主管機關應於7日內將所接獲的上開資料移送加害人所屬機關、部隊、學校、機構或僱用人處理，並副知機關、部隊、學校、機構或僱用人所在地之直轄市、縣（市）主管機關。但如加害人不明或不知有無所屬機關、部隊、學校、機構或僱用人者，應移送事件發生地之警察機關處理，並副知警察機關所在地之直轄市、縣（市）主管機關。"
78,什麼是「性騷擾」?,"很多人在談話時，喜歡故做親密，以手搭對方肩膀、拍打背部或拉拉小手，只要對他人實施違反其意願而與性或性別有關之行為，即使加害人辯稱碰觸受害人是表達關心，但只要讓對方感覺到被冒犯、不舒服，而不當影響對方正常生活之進行，就有可能構成性騷擾。由此可知，界定性騷擾的最重要因素是被害人的感覺與意願，因此同樣一種行為發生在不同人的身上，其結果也會有所不同。
        因此，違反他人意願而向他人實施與性或性別有關之行為，若造成對方的嫌惡與厭惡，不當影響其正常生活進行的，都算是「性騷擾」。例如：（一）以該他人順服或拒絕該行為，作為其獲得、喪失或減損與工作、教育、訓練、服務、計畫、活動有關權益之條件。（二）以展示或播送文字、圖畫、聲音、影像或其他物品之方式，或以歧視、侮辱之言行，或以他法，而有損害他人人格尊嚴，或造成使人心生畏怖、感受敵意或冒犯之情境，或不當影響其工作、教育、訓練、服務、計畫、活動或正常生活之進行。
        另外提醒的是，性別騷擾也算是性騷擾的態樣之一。所謂性別騷擾，係指帶有性別歧視或偏見的言論，特別侮辱、貶抑或敵視特定性別的言詞或態度，例如「男人婆」和「娘娘腔」等，類似這種言論或態度，如果讓對方覺得不舒服、被冒犯，也算是一種性騷擾。 在具體個案發生時，性騷擾的認定，應就個案審酌事件發生之背景、環境、當事人之關係、行為人之言詞、行為及相對人之認知等具體事實為之。"
79,[市民卡]市民卡遺失或故障補換領（掛失）程序為何？,"普通市民卡：如卡片遺失，須先打電話至悠遊卡客服專線：(02)412-8880或悠遊卡網站(https://www.easycard.com.tw/self_service)辦理掛失動作，悠遊卡公司會承擔自掛失完成３小時後之卡片餘額，再請逕至本市各區區公所(民政課)現場申請註銷重新製發。
員工識別證：如卡片遺失，先打電話至悠遊卡客服專線：(02)412-8880或悠遊卡網站(https://www.easycard.com.tw/self_service)辦理掛失動作，悠遊卡公司會承擔自掛失完成３小時後之卡片餘額，再請逕向所屬人事單位申請註銷重新製發。
敬老卡及愛心卡 ：如卡片遺失，先打電話至悠遊卡客服專線：(02)412-8880或悠遊卡網站(https://www.easycard.com.tw/self_service)進行掛失動作，悠遊卡公司會承擔自掛失完成3小時後之卡片餘額，再請逕向三區區公所(社政課)申請註銷重新製發。

如係卡片故障重製，請先依上述步驟辦理重製卡完成後，逕向悠遊卡客服專線(02)412-8880洽詢退費事宜或至悠遊卡網站(https://masweb.easycard.com.tw/ttECWeb/)線上辦理退卡退費。"
80,[市民卡]外籍配偶(新住民)是否可申請「市民卡」？,依「新竹市市民卡管理辦法」第九條規定設籍本市之市民，得檢附相關身分證明文件及照片，向戶籍地之區公所核發市民卡，如外籍配偶已領取本國國民身分證且設籍於本市，則符合申請資格。
81,[市民卡]普通市民卡、敬老卡、愛心卡及本府員工卡差異？,"普通市民卡：

年齡在6~65歲之間設籍新竹市市民可免費申辦一張普通市民卡，可就近至本市各區區公所民政課申辦。已申請敬老卡、愛心卡者，無法再免費申辦普通市民卡。
管理單位為行政處、製卡單位為各區區公所民政課。

敬老卡、愛心卡：

年滿65歲長者或身心障礙人士（持有身心障礙手冊），應申請敬老卡或愛心卡，免再申請普通市民卡，符合上述資格者可檢附三個月內二吋彩色照片（請於照片背面填寫姓名）向本市各區區公所社政課辦理。
敬老卡及愛心卡每月有免費公車或計程車點數600點補助。
管理單位為社會處、製卡單位為各區區公所社政課。

員工卡：

本府所屬機關學校由本府核發之員工識別證。
管理及製卡單位為本府人事處。"
82,[市民卡]市民卡各卡別聯繫窗口?,"(一)普通市民卡： 
1.東區區公所(民政課)：03-5218231轉152或201（30041新竹市東區民族路40號） 
2.北區區公所(民政課)：03-5152525轉207或208（30050新竹市北區國華街69號3樓） 
3.香山區公所(民政課)：03-5307105轉202（30091新竹市牛埔路446號） 
4.卡片問題諮詢 新竹市政府(行政處資訊科)：03-5216121轉511（300新竹市中正路120號） 
(二)敬老卡、愛心卡： 
1.東區區公所(社政課)：03-5218231轉307（新竹市東區民族路40號） 
2.北區區公所(社政課)：03-5152525轉304（新竹市北區國華街69號3樓） 
3.香山區公所(社政課)：03-5307105轉301（新竹市牛埔路446號） 
4.新竹市政府社會處(社會救助與老人福利科)：03-5352386轉203、社會處(身心障礙福利科)：03-5352386轉502（新竹市中央路241號） 
(三)員工識別證： 新竹市政府（人事處）：03-5216121轉344（新竹市中正路120號） 
(四)悠遊卡公司： 
1.悠遊卡相關資訊查詢專線:02-26529988
2.客服專線：02-4128880。 
(五)相關網址： 
1.市民卡主題網：http://citycard.hccg.gov.tw/ 
2.悠遊卡公司官網：http://www.easycard.com.tw"
83,[市民卡]卡片鎖卡如何處理？?,"通常市民卡遭鎖卡常見原因有二種，說明如下：

搭乘大眾交通運輸工具（例如火車、捷運、公車等）時，通常上下車須要分別各刷一次才完成刷卡交易，常見民眾上車或入站刷卡，下車或出站卻忘記刷卡，導致市民卡遭鎖卡，此時只要持市民卡至該交通運輸公司服務櫃台完成繳費卡片即可解鎖。
民眾搭乘大眾交通運輸工具（例如火車、捷運、公車等）時，上車或入站刷卡時只要卡片餘額大於0元，即可正常刷卡上車或入站，下車或出站刷卡時如果卡片內應付餘額不足，但仍可在-60元以內的額度內正常刷卡下車或出站；但如果上車或入站刷卡時，卡片餘額在小於0元的情況下，卡片會遭鎖卡無法使用，此時必須先完成儲值且金額在大於0的情況下，卡片才會自動解鎖。"
84,[市民卡]敬老卡、愛心卡補助內容為何，點數錢包與現金錢包各有什麼功用？,"敬老卡、愛心卡由本府每月免費補助600點（1點即1元）至卡片「點數錢包」，提供搭乘市區公車或計程車之福利點數，其用途能搭乘新竹客運、苗栗客運、中壢客運、國光客運及金牌客運(不包含國道路線)及計程車(台灣大車隊、大都會車隊、紅帥衛星車隊、第一中華車隊)，計程車車身貼有敬老愛心計程車隊貼紙供辨識之用。

「現金錢包」則是由持卡人自行至全國貼有悠遊卡標誌的地點以現金加值，例如便利商店(7-ELEVEN、全家、萊爾富、OK超商)，可以當作一般悠遊卡做為小額消費電子付款用途。二種錢包在使用上各自獨立互不干擾。

持卡人在搭乘市區公車或計程車時，如當月600點「點數錢包」不夠用時，卡片會自動以「現金錢包」內之餘額扣款。"
85,[市民卡]卡片故障或損壞要如何處理？,"※因不可歸責於持卡人所致之故障：

普通市民卡：請攜帶異常市民卡及身分證明文件至本市各區(東區、北區、香山區)區公所(民政課)免費重製補發。
敬老卡或愛心卡：請攜帶異常卡片及身分證明文件至戶籍所在地之區公所(社政課)免費重製補發。
員工識別證：請攜帶異常卡片逕洽各單位人事辦理。

※如因可歸責於持卡人所致之故障或損壞，需補換新卡者，須收取卡片重製費用。"
86,[市民卡]領有敬老卡、愛心卡、數位學生證、員工識別證之市民，還需申辦(普通)市民卡嗎？,普通市民卡、本府員工識別證、敬老卡、愛心卡，均屬市民卡種類之一，享有市民卡同等功能，故已申請上述卡別之民眾，即不需再重複申辦（普通）市民卡，惟（普通）市民卡早先一步申辦者，仍可申辦上述其他卡別。
87,[市民卡]申請補換領「市民卡」費用為何？,"依新竹市市民卡補換領收費標準第二條，申請補換領新竹市市民卡，每張費用為新臺幣150元(適用普通市民卡及員工識別證)。
敬老卡及愛心卡由本府社會處主責，補卡費用每張為新臺幣100元整。"
88,[市民卡]卡片會被無預警消磁嗎？,市民卡是一張晶片感應式票卡，是利用切割磁力線的原理，以無線感應傳輸的方式完成交易，進而達到快速讀取晶片內容之目的，故與其他信用卡及金融卡放在一起時不會消磁，也不會相互干擾。市民卡具備「多卡不處理」的特性，若讀卡機同時間偵測到有兩張以上卡片，則不會對任一張卡片進行扣款；但有可能因持卡人使用悠遊卡感應的方式、速度或方向不同，而使得讀卡機完成一張的扣款後，短時間內又感應到同一個皮夾的另一張卡片，而發生重覆扣款，故請不要將兩張以上卡片放在同一個皮夾中感應。
89,[市民卡]申辦市民卡是否一定要貼附相片？,申辦「敬老卡」、「愛心卡」及「本府員工識別證」依規必須貼附相片，而申辦「普通市民卡」則可由申請人自行決定是否貼附相片。
90,[市民卡]新竹市市民卡申辦需攜帶哪些證件？,"普通市民卡：檢附身分證（或汽機車駕照及健保卡任一）及二吋彩色照片（民眾可自行選擇是否附照片，若要附照片者請張貼三個月內二吋彩色照片，並於照片背面填寫姓名）。如為委託代辦者，須另檢附委託書及雙方證件。如為14歲以下尚未領有身分證者（檢附健保卡），可檢附戶口名簿影本代替。
敬老卡：檢附身分證及三個月內二吋彩色照片（請於照片背面填寫姓名）向各區區公所社政課申辦。
愛心卡：檢附身分證、身心障礙手冊及三個月內二吋彩色照片（請於照片背面填寫姓名）向各區區公所社政課申辦。"
91,[市民卡]市民卡可否委託其他人代辦代領？,請親臨臨櫃提供相關佐證文件(如本人身分證、戶口名簿、戶籍謄本等可證明關係之文件)
92,[市民卡]申請新竹市市民卡之申請資格及申請地點?,"普通市民卡：適用6~65歲新竹市民，且尚未申辦其他種類市民卡之市民申辦，申辦可至本市各區(東區、北區、香山區)區公所(民政課)現場申辦領卡。
敬老卡：適用年滿65歲新竹市民申辦，申請可至本市各區區公所(社政課)現場辦理。
愛心卡：適用領有身心障礙手冊之新竹市民申辦，申請可至本市各區區公所(社政課)現場辦理。
員工識別證：任職新竹市政府暨所屬機關學校教職員工均可申請員工識別證，申請可逕洽各單位人事辦理。"
93,[市民卡]市民卡是否有使用期限?,"普通市民卡：有效期限預設為20年。
敬老卡及愛心卡：有效期限依卡別優惠期限為準，例如設籍新竹市持有敬老卡或愛心卡民眾，當戶籍遷出或死亡時，其敬老卡及愛心卡每月600點優惠即停止，故有效期限亦隨之結束。
員工識別證：有效期限為任職於本府所屬機關或學校期間，離職須繳回卡片。"
94,[市民卡]如新竹市民出國在外滿兩年未回國，被戶政機關「逕為遷出」者，可否申辦市民卡？,新竹市民如「逕為遷出」後，仍為本國國民，但尚未設籍於新竹市前，無法申請新竹市市民卡。請於歸國後辦理新竹市戶籍登記完成，始可申辦新竹市市民卡。
95,[市民卡]何謂『記名式』晶片悠遊卡，卡片中的個人資料是否有外洩之疑慮?,"根據金管會的要求，市民卡屬『記名式』晶片悠遊卡，在申請時必須向悠遊卡公司登錄個人聯絡資料，可以透過簡易身分查驗，並於掛失確認3小時後，電子錢包內剩餘金錢將由悠遊卡公司退還。若持卡人不同意提供記名資料給悠遊卡公司，則依金管會規定，悠遊卡公司將會關閉該卡片的電子錢包功能。因此，新竹市民若不欲提供個人資料給悠遊卡公司，則建議可暫勿申請市民卡。 市民卡採用的晶片悠遊卡並未寫入個人資料，僅根據該卡片的晶片序號作為持卡人代號，相關個人資料及服務權限皆放在後臺雲端服務系統，在讀卡時將透過後臺雲端服務系統查詢市民身分及查驗可提供的服務項目，因此不會有個人資料洩漏的疑慮。

※悠遊卡公司已通過英國標準協會BS 10012：PIMS個人資訊管理系統驗證，對於個人資料保護管理制度均能穩健運作，持卡人權益也能獲得保障，更是國內首家通過國際個資驗證的票證業者。"
96,[市民卡]新竹市市民卡遺失掛失或故障重製後，原消費使用的電子發票如何處理？,"如原先已於財政部電子發票整合服務平台（https://www.einvoice.nat.gov.tw/），以自然人憑證或手機條碼將市民卡進行「歸戶」動作，則市民卡遺失後仍可直接於財政部電子發票整合服務平台查詢所消費電子發票中獎資訊。
    
如果原先並未將市民卡卡號資訊歸戶於財政部電子發票整合服務平台中，則可撥打悠遊卡客服專線：412-8880(手機及金馬地區請加02)，由悠遊卡公司人員核對持卡人個人資訊進行身分驗證通過後，悠遊卡公司會提供「晶片碼」及「驗證碼」，持卡人可至便利超商多媒體服務機，查詢及列印中獎的紙本電子發票進行領獎。"
97,[市民卡]數位學生證是否尚可補發卡?,「數位學生證」(學生卡)前已於105學年度停止發行，補卡作業由教育處持續補發至110學年度結束，現行已不再進行發卡及補卡作業，如仍有數位學生證相關問題請洽本市教育處(03)5249617#9。
98,[市民卡]申辦新竹市民卡享有什麼優惠？,"持「敬老卡」、「愛心卡」者，可由本府補助600點搭乘公車或計程車福利(1點即1元）。
持市民卡可至本府合作之『市民卡特約商店』獲得購物或促銷活動優惠(請依本府公佈辦法實施)。
持市民卡做為借書證，可至新竹市公共圖書館借閱書籍，並享有「通閱通還」服務，免費借還閱其他館的圖書館藏（不含期刊、兒童圖書及視聽資料）。
持市民卡至本市動物園可享9折優惠。
持市民卡到本市南寮溫水游泳池可享8折優惠。"
99,[市民卡]市民卡可於哪些地點儲值(現金錢包)金額？,新竹市市民卡已結合悠遊卡功能，民眾可至全台有悠遊卡加值功能的地點進行金額儲值，例如四大便利超商（7-ELEVEN、全家、萊爾富、OK）、捷運各車站、臺鐵各站售票口或具有悠遊卡加值功能之POS機台等。
